Employment,EdLevel,YearsCodePro,JobSat,RemoteWork,Country,LanguageHaveWorkedWith,LanguageWantToWorkWith
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,9.0,In-person,Austria,Assembly;C#;C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;VBA,Assembly;C#;C++;HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,9.0,"Hybrid (some remote, some in-person)",Romania,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;Dart;Fortran;Go;Julia;Python;SQL;VBA,Dart;Go;Python;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,6.0,"Hybrid (some remote, some in-person)",United States of America,C;C++,C++
"Employed, full-time",Some college/university study without earning a degree,4,3.0,Remote,Germany,Java;JavaScript;SQL,Java;JavaScript;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,3.0,In-person,Bulgaria,C#;HTML/CSS;JavaScript;SQL,C#;JavaScript;SQL
"Employed, full-time",Some college/university study without earning a degree,8,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,JavaScript;Lua;PHP;Python;Rust;TypeScript
"Employed, full-time",Some college/university study without earning a degree,2,6.0,Remote,Turkey,Python,Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29,7.0,"Hybrid (some remote, some in-person)",Switzerland,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,9.0,"Hybrid (some remote, some in-person)",Bulgaria,PowerShell;Ruby,Go;PowerShell;Ruby;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,9.0,Remote,Croatia,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30,7.0,"Hybrid (some remote, some in-person)",Sweden,C#;PowerShell;SQL,C#;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,10.0,"Hybrid (some remote, some in-person)",Pakistan,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,C#;Rust;Scala
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,9.0,In-person,Czech Republic,C++;Python;R,C++
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,7.0,"Hybrid (some remote, some in-person)",Switzerland,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig,Assembly;Bash/Shell (all shells);C++;Clojure;Elixir;Erlang;Fortran;Java;JavaScript;Lua;OCaml;Python;R;Rust;Scala;Zig
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,6.0,Remote,United States of America,Groovy;HTML/CSS;Java;JavaScript;Python,Groovy;HTML/CSS;Java;JavaScript;Python
"Employed, full-time;Student, part-time",Some college/university study without earning a degree,5,7.0,"Hybrid (some remote, some in-person)",Republic of North Macedonia,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C++;Dart;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,8.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell (all shells);HTML/CSS;Java;Kotlin;Perl;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26,8.0,Remote,United States of America,C#;JavaScript;TypeScript,C#;F#;JavaScript;Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7.0,"Hybrid (some remote, some in-person)",Germany,C#;PowerShell;Rust,C;C#;PowerShell
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,7.0,"Hybrid (some remote, some in-person)",Finland,Go;HTML/CSS;JavaScript;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,4.0,Remote,Slovakia,C;Python,C;Python
"Employed, full-time",Some college/university study without earning a degree,4,2.0,Remote,Poland,Bash/Shell (all shells);C;C++;Go;JavaScript;Python,Rust
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",29,8.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,6.0,"Hybrid (some remote, some in-person)",Ireland,GDScript;JavaScript;PHP,GDScript;JavaScript;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,3.0,In-person,Greece,C#;HTML/CSS;JavaScript;PHP;SQL,C++;HTML/CSS;PHP;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,8.0,"Hybrid (some remote, some in-person)",Italy,C#;JavaScript;PowerShell;SQL,C#
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11,2.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Go;SQL,Bash/Shell (all shells);Dart;Go;Rust;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,7.0,In-person,Poland,C#;JavaScript;SQL;TypeScript,C#;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,Remote,Italy,Go;PHP;Python;SQL,C++;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,1.0,Remote,India,Bash/Shell (all shells);Go;HTML/CSS;Python,Bash/Shell (all shells);Elixir;Go;HTML/CSS;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,9.0,In-person,United States of America,C#;HTML/CSS;VBA,C#;F#;HTML/CSS;Lua;SQL;VBA
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,4.0,"Hybrid (some remote, some in-person)",Greece,C;C#;HTML/CSS;Java;Python;SQL,C;C#;HTML/CSS;Java;Kotlin;Python;SQL;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,9.0,"Hybrid (some remote, some in-person)",Ireland,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,7.0,"Hybrid (some remote, some in-person)",United States of America,C#,C#
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,7.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust,Erlang;Haskell
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Some college/university study without earning a degree,5,8.0,Remote,Austria,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,8.0,"Hybrid (some remote, some in-person)",United Republic of Tanzania,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,8.0,"Hybrid (some remote, some in-person)",Ireland,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,"Hybrid (some remote, some in-person)",Germany,Go,Go
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10.0,Remote,Japan,HTML/CSS;Java;JavaScript;Python;TypeScript,C#;HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,8.0,"Hybrid (some remote, some in-person)",India,Go;Python,Go;Python
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30,6.0,In-person,Sweden,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,8.0,Remote,Ukraine,C++,C++
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,8.0,"Hybrid (some remote, some in-person)",Germany,JavaScript;TypeScript,JavaScript;TypeScript
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,6.0,Remote,Ukraine,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time",Some college/university study without earning a degree,2,7.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,Bash/Shell (all shells);C#;HTML/CSS;Java;Python;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,5,9.0,In-person,Italy,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,8.0,"Hybrid (some remote, some in-person)",India,C;C++;Java,PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,10.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,3.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Dart;Python;Swift,Bash/Shell (all shells);Dart;Kotlin;PHP;Python;SQL;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,8.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Go;Java;Python;TypeScript
"Employed, full-time",Some college/university study without earning a degree,13,10.0,Remote,Croatia,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;Python;SQL,C#;HTML/CSS;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,10.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript,C;C++;Python;Rust
"Employed, full-time","Associate degree (A.A., A.S., etc.)",4,3.0,In-person,United States of America,C#;HTML/CSS;JavaScript;SQL,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Python;Rust;Solidity;SQL;Zig
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,6.0,"Hybrid (some remote, some in-person)",Sri Lanka,HTML/CSS;JavaScript;SQL;TypeScript,Dart;HTML/CSS;JavaScript;Kotlin;Rust;Solidity;SQL;Swift;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,2.0,Remote,United States of America,C;C#;C++;HTML/CSS;JavaScript;TypeScript,C;C#;C++;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,6.0,"Hybrid (some remote, some in-person)",Netherlands,Go;Rust;Zig,C;Rust;Zig
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,7.0,Remote,Latvia,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,6.0,Remote,Sri Lanka,Lua;Python;TypeScript,Rust;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,8.0,"Hybrid (some remote, some in-person)",Portugal,Java;TypeScript,Java;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,10.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,8.0,"Hybrid (some remote, some in-person)",Singapore,Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,6.0,In-person,China,Python,Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,5.0,"Hybrid (some remote, some in-person)",Philippines,HTML/CSS;JavaScript,Python;SQL;VBA
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,6.0,In-person,United States of America,C#;Go;Groovy;HTML/CSS;Java;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,7.0,"Hybrid (some remote, some in-person)",United States of America,C#;JavaScript;SQL;TypeScript,C#;C++;F#;JavaScript;Objective-C;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,7.0,"Hybrid (some remote, some in-person)",Spain,Assembly;C;C++;PowerShell;Python;SQL,Assembly;C;C++;PowerShell;Python;Rust;SQL
"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,6.0,"Hybrid (some remote, some in-person)",Portugal,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Prolog;Python;R;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,9.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,8.0,In-person,Russian Federation,JavaScript;Python;SQL,Scala
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,7.0,Remote,Canada,Go;HTML/CSS;JavaScript;SQL;TypeScript,Dart;Go;TypeScript
"Employed, full-time",Some college/university study without earning a degree,30,9.0,Remote,Canada,C#,C#;HTML/CSS;JavaScript;Python
"Employed, full-time",Some college/university study without earning a degree,15,8.0,"Hybrid (some remote, some in-person)",Bulgaria,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL,C#;C++;Go;Java;JavaScript;PowerShell;Rust;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,9.0,Remote,India,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;SQL
"Employed, full-time",Some college/university study without earning a degree,12,8.0,Remote,United States of America,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),Clojure;Haskell;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,9.0,Remote,Lithuania,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,PHP
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,3.0,In-person,Netherlands,JavaScript;PHP;Python;Rust,JavaScript;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,6.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),Go;HTML/CSS;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,8.0,"Hybrid (some remote, some in-person)",Viet Nam,C;C++;PowerShell;Python;SQL,C;C++;Go;Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,5.0,Remote,Dominican Republic,C#;Go;JavaScript;PowerShell;TypeScript,Elixir;Go;JavaScript;Kotlin;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,9.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;F#;JavaScript;PowerShell;SQL;TypeScript,C#;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,8.0,Remote,Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Solidity;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,8.0,"Hybrid (some remote, some in-person)",Germany,C;C++;Java;Kotlin;MATLAB;SQL,C;C++;Java;Kotlin;MATLAB;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,1.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Java;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Rust;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,8.0,Remote,Germany,Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10.0,Remote,Germany,C#;HTML/CSS,C#;HTML/CSS
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23,7.0,"Hybrid (some remote, some in-person)",Ireland,Assembly;Bash/Shell (all shells);C;C#;C++;Lua;Python;Rust,C;C#;C++;Python;Rust
"Employed, full-time",Some college/university study without earning a degree,3,6.0,"Hybrid (some remote, some in-person)",Serbia,Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;SQL,Bash/Shell (all shells);Python;Rust;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,10.0,Remote,Ukraine,C;C++;Groovy;Java;Julia;MATLAB;Python;SQL,Java;Julia;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,3.0,Remote,Romania,C++;Java;Python,Assembly;C;C++;Go;Java;Python;R;Rust;Scala;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,6.0,In-person,Poland,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,20,10.0,In-person,United States of America,JavaScript;PHP;SQL,JavaScript;PHP;SQL
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,7.0,In-person,Morocco,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,8.0,In-person,France,C;C++;Python;Rust,Python;Rust
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19,7.0,Remote,United States of America,C#;Java;JavaScript;Python;SQL,C#;PowerShell;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,6.0,"Hybrid (some remote, some in-person)",Taiwan,Bash/Shell (all shells);C++;Python,Bash/Shell (all shells);C++;Go
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,10.0,In-person,United States of America,Bash/Shell (all shells);C;C++;MATLAB;Python;Rust;TypeScript,Bash/Shell (all shells);C;Julia;MATLAB;Python;Rust
"Employed, full-time",Some college/university study without earning a degree,34,9.0,Remote,Sweden,Bash/Shell (all shells);Go;Java;JavaScript;Python;TypeScript,Bash/Shell (all shells);C;Go;Lisp;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,9.0,"Hybrid (some remote, some in-person)",Switzerland,Assembly;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,15,4.0,"Hybrid (some remote, some in-person)",Brazil,Bash/Shell (all shells);Java;Python;SQL,Bash/Shell (all shells);Go;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,8.0,In-person,France,Bash/Shell (all shells);C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,6.0,Remote,France,JavaScript;Python;SQL;TypeScript,Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,5.0,"Hybrid (some remote, some in-person)",Sweden,HTML/CSS;JavaScript;TypeScript,HTML/CSS;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,7.0,Remote,United States of America,C;C#;Python,C;C#;Go;Python;Rust
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,9.0,"Hybrid (some remote, some in-person)",Austria,C#;Go;JavaScript;PHP;SQL,C#;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,5.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C#;C++;HTML/CSS;JavaScript;Python;VBA;Visual Basic (.Net),C#;C++;HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,9.0,Remote,Ukraine,Go;Rust;SQL;TypeScript,Go;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5.0,"Hybrid (some remote, some in-person)",Lithuania,JavaScript;SQL;TypeScript,SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,8.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;Java;Lua;PowerShell;Python;SQL,C#;Java;PowerShell;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,7.0,Remote,Russian Federation,JavaScript;Python;SQL;TypeScript,SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,5.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;JavaScript;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,8.0,"Hybrid (some remote, some in-person)",San Marino,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Scala,Bash/Shell (all shells);C;Dart;Java;Lua;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,7.0,Remote,United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL,C#;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL
