Employment,EdLevel,YearsCodePro,ExperienceRange,JobSat,JobSatPoints_1,RemoteWork,Country,LanguageHaveWorkedWith
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20+,7.0,0.0,"Hybrid (some remote, some in-person)",Switzerland,Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,20+,6.0,5.0,Remote,United States of America,Groovy;HTML/CSS;Java;JavaScript;Python
"Employed, full-time;Student, part-time",Some college/university study without earning a degree,5.0,0–5,7.0,10.0,"Hybrid (some remote, some in-person)",Republic of North Macedonia,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,20+,8.0,0.0,Remote,United States of America,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,20+,8.0,40.0,Remote,United States of America,C#;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",Germany,C#;PowerShell;Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,5–10,7.0,0.0,"Hybrid (some remote, some in-person)",Finland,Go;HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,10–20,4.0,0.0,Remote,Slovakia,C;Python
"Employed, full-time",Some college/university study without earning a degree,4.0,0–5,2.0,0.0,Remote,Poland,Bash/Shell (all shells);C;C++;Go;JavaScript;Python
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",29.0,20+,8.0,10.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37.0,20+,4.0,10.0,"Hybrid (some remote, some in-person)",United States of America,C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,6.0,0.0,"Hybrid (some remote, some in-person)",Ireland,GDScript;JavaScript;PHP
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,3.0,10.0,In-person,Greece,C#;HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,5–10,7.0,0.0,Remote,India,Bash/Shell (all shells);C#;JavaScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1.0,0–5,8.0,20.0,"Hybrid (some remote, some in-person)",Italy,C#;JavaScript;PowerShell;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11.0,10–20,2.0,40.0,Remote,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Go;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,7.0,25.0,In-person,Poland,C#;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,8.0,80.0,Remote,Italy,Go;PHP;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,1.0,0.0,Remote,India,Bash/Shell (all shells);Go;HTML/CSS;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,9.0,0.0,In-person,United States of America,C#;HTML/CSS;VBA
"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,4.0,5.0,"Hybrid (some remote, some in-person)",Greece,C;C#;HTML/CSS;Java;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,10–20,9.0,10.0,"Hybrid (some remote, some in-person)",Ireland,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,7.0,70.0,"Hybrid (some remote, some in-person)",United States of America,C#
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,20+,7.0,15.0,"Hybrid (some remote, some in-person)",Germany,Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust
"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Some college/university study without earning a degree,5.0,0–5,8.0,0.0,Remote,Austria,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,8.0,75.0,"Hybrid (some remote, some in-person)",United Republic of Tanzania,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,20+,8.0,10.0,"Hybrid (some remote, some in-person)",Ireland,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,8.0,25.0,"Hybrid (some remote, some in-person)",Germany,Go
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,10.0,60.0,Remote,Japan,HTML/CSS;Java;JavaScript;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",India,Go;Python
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30.0,20+,6.0,5.0,In-person,Sweden,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10–20,8.0,0.0,Remote,Ukraine,C++
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,8.0,30.0,"Hybrid (some remote, some in-person)",Germany,JavaScript;TypeScript
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,6.0,5.0,Remote,Ukraine,HTML/CSS;JavaScript;PHP;SQL
"Employed, full-time",Some college/university study without earning a degree,2.0,0–5,7.0,50.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,5.0,0–5,9.0,10.0,In-person,Italy,C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,8.0,90.0,"Hybrid (some remote, some in-person)",India,C;C++;Java
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,10.0,0.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,3.0,40.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);Dart;Python;Swift
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,10–20,9.0,0.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,HTML/CSS;SQL;VBA
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,8.0,15.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,13.0,10–20,10.0,10.0,Remote,Croatia,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,70.0,"Hybrid (some remote, some in-person)",United States of America,C#;HTML/CSS;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,10.0,0.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript
"Employed, full-time","Associate degree (A.A., A.S., etc.)",4.0,0–5,3.0,33.0,In-person,United States of America,C#;HTML/CSS;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,6.0,0.0,"Hybrid (some remote, some in-person)",Sri Lanka,HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3.0,0–5,2.0,0.0,Remote,United States of America,C;C#;C++;HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5.0,0–5,7.0,50.0,Remote,Latvia,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,6.0,0.0,Remote,Sri Lanka,Lua;Python;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,10–20,8.0,20.0,"Hybrid (some remote, some in-person)",Portugal,Java;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,10–20,10.0,20.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,8.0,0.0,"Hybrid (some remote, some in-person)",Singapore,Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,20+,6.0,60.0,In-person,China,Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,6.0,20.0,In-person,United States of America,C#;Go;Groovy;HTML/CSS;Java;JavaScript;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,7.0,0.0,"Hybrid (some remote, some in-person)",United States of America,C#;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,7.0,0.0,"Hybrid (some remote, some in-person)",Spain,Assembly;C;C++;PowerShell;Python;SQL
"Employed, full-time;Student, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,6.0,20.0,"Hybrid (some remote, some in-person)",Portugal,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Prolog;Python;R;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,9.0,35.0,Remote,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,0–5,8.0,0.0,In-person,Russian Federation,JavaScript;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,5–10,7.0,10.0,Remote,Canada,Go;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,30.0,20+,9.0,40.0,Remote,Canada,C#
"Employed, full-time",Some college/university study without earning a degree,15.0,10–20,8.0,10.0,"Hybrid (some remote, some in-person)",Bulgaria,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,20+,9.0,20.0,Remote,India,HTML/CSS;Java;JavaScript;SQL
"Employed, full-time",Some college/university study without earning a degree,12.0,10–20,8.0,22.0,Remote,United States of America,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net)
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,9.0,0.0,Remote,Lithuania,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,3.0,25.0,In-person,Netherlands,JavaScript;PHP;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5–10,6.0,10.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,8.0,0.0,"Hybrid (some remote, some in-person)",Viet Nam,C;C++;PowerShell;Python;SQL
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10.0,5–10,5.0,10.0,Remote,Dominican Republic,C#;Go;JavaScript;PowerShell;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,9.0,10.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;F#;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,5–10,8.0,0.0,Remote,Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,10–20,8.0,80.0,"Hybrid (some remote, some in-person)",Germany,C;C++;Java;Kotlin;MATLAB;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,1.0,0.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Java;SQL
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0,5–10,8.0,0.0,Remote,Germany,Bash/Shell (all shells);Go;HTML/CSS;Rust;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,10.0,0.0,Remote,Germany,C#;HTML/CSS
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23.0,20+,7.0,0.0,"Hybrid (some remote, some in-person)",Ireland,Assembly;Bash/Shell (all shells);C;C#;C++;Lua;Python;Rust
"Employed, full-time",Some college/university study without earning a degree,3.0,0–5,6.0,0.0,"Hybrid (some remote, some in-person)",Serbia,Bash/Shell (all shells);C;C++;HTML/CSS;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,10.0,100.0,Remote,Ukraine,C;C++;Groovy;Java;Julia;MATLAB;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,10–20,3.0,0.0,Remote,Romania,C++;Java;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10–20,6.0,0.0,In-person,Poland,C#;HTML/CSS;JavaScript;SQL;TypeScript
"Employed, full-time",Some college/university study without earning a degree,20.0,10–20,10.0,0.0,In-person,United States of America,JavaScript;PHP;SQL
"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,0–5,7.0,7.0,In-person,Morocco,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,0–5,8.0,20.0,In-person,France,C;C++;Python;Rust
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,20+,9.0,20.0,Remote,Germany,C#;Ruby
"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19.0,10–20,7.0,10.0,Remote,United States of America,C#;Java;JavaScript;Python;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2.0,0–5,6.0,,"Hybrid (some remote, some in-person)",Taiwan,Bash/Shell (all shells);C++;Python
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10–20,10.0,17.0,In-person,United States of America,Bash/Shell (all shells);C;C++;MATLAB;Python;Rust;TypeScript
"Employed, full-time",Some college/university study without earning a degree,34.0,20+,9.0,0.0,Remote,Sweden,Bash/Shell (all shells);Go;Java;JavaScript;Python;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,9.0,80.0,"Hybrid (some remote, some in-person)",Switzerland,Assembly;C;C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;SQL;TypeScript;Visual Basic (.Net)
"Employed, full-time",Some college/university study without earning a degree,15.0,10–20,4.0,50.0,"Hybrid (some remote, some in-person)",Brazil,Bash/Shell (all shells);Java;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,5–10,8.0,0.0,In-person,France,Bash/Shell (all shells);C#;C++;Java;JavaScript;PHP;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,10–20,6.0,10.0,Remote,France,JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,5.0,0.0,"Hybrid (some remote, some in-person)",Sweden,HTML/CSS;JavaScript;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,5–10,7.0,0.0,Remote,United States of America,C;C#;Python
"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9.0,5–10,9.0,100.0,"Hybrid (some remote, some in-person)",Austria,C#;Go;JavaScript;PHP;SQL
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,5–10,5.0,0.0,"Hybrid (some remote, some in-person)",United Kingdom of Great Britain and Northern Ireland,C#;C++;HTML/CSS;JavaScript;Python;VBA;Visual Basic (.Net)
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,10–20,9.0,5.0,Remote,Ukraine,Go;Rust;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,5.0,0.0,"Hybrid (some remote, some in-person)",Lithuania,JavaScript;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,20+,8.0,20.0,"Hybrid (some remote, some in-person)",United States of America,C#;C++;Java;Lua;PowerShell;Python;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,7.0,0.0,Remote,Russian Federation,JavaScript;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5–10,5.0,0.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;JavaScript;PowerShell;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1.0,0–5,8.0,50.0,"Hybrid (some remote, some in-person)",San Marino,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Scala
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,20+,7.0,0.0,Remote,United States of America,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,8.0,10.0,"Hybrid (some remote, some in-person)",Poland,HTML/CSS;Java;JavaScript
"Employed, full-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,0–5,7.0,0.0,"Hybrid (some remote, some in-person)",Tunisia,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,6.0,0.0,Remote,India,Go;JavaScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,10–20,8.0,0.0,"Hybrid (some remote, some in-person)",Germany,Groovy;Java;Kotlin;PowerShell
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10–20,7.0,0.0,"Hybrid (some remote, some in-person)",Canada,Go;Rust
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,20+,10.0,100.0,Remote,Poland,Bash/Shell (all shells);C;C++;Cobol;Delphi;Go;Java;JavaScript;Lua;Perl;PHP;Python;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,20+,8.0,5.0,"Hybrid (some remote, some in-person)",Romania,C;C++;Objective-C;PHP;Python;Ruby;Swift;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0–5,6.0,0.0,In-person,Greece,Go;JavaScript;PHP;PowerShell;Python;SQL;TypeScript
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,20+,9.0,20.0,"Hybrid (some remote, some in-person)",United States of America,Bash/Shell (all shells)
"Employed, full-time","Associate degree (A.A., A.S., etc.)",2.0,0–5,4.0,80.0,Remote,Turkey,Dart;JavaScript;Python
"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,0–5,5.0,80.0,In-person,Bangladesh,Java;Python
"Employed, full-time",Some college/university study without earning a degree,23.0,20+,8.0,30.0,Remote,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PHP;Python;SQL
"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2.0,0–5,6.0,50.0,Remote,Nigeria,HTML/CSS;JavaScript;Python;SQL;TypeScript
"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,20+,9.0,0.0,"Hybrid (some remote, some in-person)",France,Bash/Shell (all shells);Go;Groovy;Java
